sigma=1

D	Pe	MM	Err t=25	Err t=50	Err t=75	Err t=100
0.01	0	32	8.6315e-05	6.2636e-05	6.1705e-05	3.3388e-04

0.01	0.1	32	3.6208e-04	3.6262e-04	3.3798e-04	4.2449e-04

0.01	1	32	2.7917e-03	3.0013e-03	2.9057e-03	3.0156e-03
0.01	1	64	1.3881e-03	1.5018e-03	1.7759e-03	3.0139e-03
0.01	1	128	6.9228e-04	7.5130e-04	1.7753e-03	3.0133e-03

0.01	10	32	2.2853e-02	2.4552e-02	2.3819e-02	2.2688e-02
0.01	10	64	1.2505e-02	1.3568e-02	1.3249e-02	1.2676e-02

0.01	100	32	8.8208e-02	9.0617e-02	8.5894e-02	8.0645e-02
0.01	100	64	6.6768e-02	6.9510e-02	6.9510e-02	6.2446e-02

0.01	1000	32	2.7928e-02	1.9845e-02	1.6229e-02	1.4066e-02
