#At time: 0.000000e+00, nsteps= 0


0.000000e+00, 0.000000e+00
3.125000e-02, 0.000000e+00
9.375000e-02, 0.000000e+00
1.562500e-01, 0.000000e+00
2.187500e-01, 0.000000e+00
2.812500e-01, 0.000000e+00
3.437500e-01, 0.000000e+00
4.062500e-01, 0.000000e+00
4.687500e-01, 0.000000e+00
5.312500e-01, 0.000000e+00
5.937500e-01, 0.000000e+00
6.562500e-01, 0.000000e+00
7.187500e-01, 0.000000e+00
7.812500e-01, 0.000000e+00
8.437500e-01, 0.000000e+00
9.062500e-01, 0.000000e+00
9.687500e-01, 0.000000e+00
1.031250e+00, 5.000000e+00
1.093750e+00, 5.000000e+00
1.156250e+00, 5.000000e+00
1.218750e+00, 5.000000e+00
1.281250e+00, 5.000000e+00
1.343750e+00, 5.000000e+00
1.406250e+00, 5.000000e+00
1.468750e+00, 5.000000e+00
1.531250e+00, 5.000000e+00
1.593750e+00, 5.000000e+00
1.656250e+00, 5.000000e+00
1.718750e+00, 5.000000e+00
1.781250e+00, 5.000000e+00
1.843750e+00, 5.000000e+00
1.906250e+00, 5.000000e+00
1.968750e+00, 5.000000e+00
2.031250e+00, 0.000000e+00
2.093750e+00, 0.000000e+00
2.156250e+00, 0.000000e+00
2.218750e+00, 0.000000e+00
2.281250e+00, 0.000000e+00
2.343750e+00, 0.000000e+00
2.406250e+00, 0.000000e+00
2.468750e+00, 0.000000e+00
2.531250e+00, 0.000000e+00
2.593750e+00, 0.000000e+00
2.656250e+00, 0.000000e+00
2.718750e+00, 0.000000e+00
2.781250e+00, 0.000000e+00
2.843750e+00, 0.000000e+00
2.906250e+00, 0.000000e+00
2.968750e+00, 0.000000e+00
3.031250e+00, 0.000000e+00
3.093750e+00, 0.000000e+00
3.156250e+00, 0.000000e+00
3.218750e+00, 0.000000e+00
3.281250e+00, 0.000000e+00
3.343750e+00, 0.000000e+00
3.406250e+00, 0.000000e+00
3.468750e+00, 0.000000e+00
3.531250e+00, 0.000000e+00
3.593750e+00, 0.000000e+00
3.656250e+00, 0.000000e+00
3.718750e+00, 0.000000e+00
3.781250e+00, 0.000000e+00
3.843750e+00, 0.000000e+00
3.906250e+00, 0.000000e+00
3.968750e+00, 0.000000e+00
4.000000e+00, 0.000000e+00


#At time: 2.000000e+00, nsteps= 512


0.000000e+00, 1.611503e+00
3.125000e-02, 1.611740e+00
9.375000e-02, 1.611740e+00
1.562500e-01, 1.612639e+00
2.187500e-01, 1.612639e+00
2.812500e-01, 1.614234e+00
3.437500e-01, 1.614234e+00
4.062500e-01, 1.616133e+00
4.687500e-01, 1.616133e+00
5.312500e-01, 1.617775e+00
5.937500e-01, 1.617775e+00
6.562500e-01, 1.618464e+00
7.187500e-01, 1.618464e+00
7.812500e-01, 1.617407e+00
8.437500e-01, 1.617407e+00
9.062500e-01, 1.613759e+00
9.687500e-01, 1.613759e+00
1.031250e+00, 1.606673e+00
1.093750e+00, 1.606673e+00
1.156250e+00, 1.595347e+00
1.218750e+00, 1.595347e+00
1.281250e+00, 1.579072e+00
1.343750e+00, 1.579072e+00
1.406250e+00, 1.557271e+00
1.468750e+00, 1.557271e+00
1.531250e+00, 1.529538e+00
1.593750e+00, 1.529538e+00
1.656250e+00, 1.495661e+00
1.718750e+00, 1.495661e+00
1.781250e+00, 1.455644e+00
1.843750e+00, 1.455644e+00
1.906250e+00, 1.409709e+00
1.968750e+00, 1.409709e+00
2.031250e+00, 1.358299e+00
2.093750e+00, 1.358299e+00
2.156250e+00, 1.302065e+00
2.218750e+00, 1.302065e+00
2.281250e+00, 1.241844e+00
2.343750e+00, 1.241844e+00
2.406250e+00, 1.178637e+00
2.468750e+00, 1.178637e+00
2.531250e+00, 1.113574e+00
2.593750e+00, 1.113574e+00
2.656250e+00, 1.047878e+00
2.718750e+00, 1.047878e+00
2.781250e+00, 9.828278e-01
2.843750e+00, 9.828278e-01
2.906250e+00, 9.197234e-01
2.968750e+00, 9.197234e-01
3.031250e+00, 8.598443e-01
3.093750e+00, 8.598443e-01
3.156250e+00, 8.044178e-01
3.218750e+00, 8.044178e-01
3.281250e+00, 7.545863e-01
3.343750e+00, 7.545863e-01
3.406250e+00, 7.113798e-01
3.468750e+00, 7.113798e-01
3.531250e+00, 6.756920e-01
3.593750e+00, 6.756920e-01
3.656250e+00, 6.482609e-01
3.718750e+00, 6.482609e-01
3.781250e+00, 6.296529e-01
3.843750e+00, 6.296529e-01
3.906250e+00, 6.202520e-01
3.968750e+00, 6.202520e-01
4.000000e+00, 6.202520e-01


#At time: 4.000000e+00, nsteps= 1024


0.000000e+00, 1.510346e+00
3.125000e-02, 1.509802e+00
9.375000e-02, 1.509802e+00
1.562500e-01, 1.507628e+00
2.187500e-01, 1.507628e+00
2.812500e-01, 1.503288e+00
3.437500e-01, 1.503288e+00
4.062500e-01, 1.496800e+00
4.687500e-01, 1.496800e+00
5.312500e-01, 1.488188e+00
5.937500e-01, 1.488188e+00
6.562500e-01, 1.477491e+00
7.187500e-01, 1.477491e+00
7.812500e-01, 1.464758e+00
8.437500e-01, 1.464758e+00
9.062500e-01, 1.450050e+00
9.687500e-01, 1.450050e+00
1.031250e+00, 1.433447e+00
1.093750e+00, 1.433447e+00
1.156250e+00, 1.415044e+00
1.218750e+00, 1.415044e+00
1.281250e+00, 1.394954e+00
1.343750e+00, 1.394954e+00
1.406250e+00, 1.373311e+00
1.468750e+00, 1.373311e+00
1.531250e+00, 1.350272e+00
1.593750e+00, 1.350272e+00
1.656250e+00, 1.326011e+00
1.718750e+00, 1.326011e+00
1.781250e+00, 1.300729e+00
1.843750e+00, 1.300729e+00
1.906250e+00, 1.274644e+00
1.968750e+00, 1.274644e+00
2.031250e+00, 1.247995e+00
2.093750e+00, 1.247995e+00
2.156250e+00, 1.221039e+00
2.218750e+00, 1.221039e+00
2.281250e+00, 1.194050e+00
2.343750e+00, 1.194050e+00
2.406250e+00, 1.167313e+00
2.468750e+00, 1.167313e+00
2.531250e+00, 1.141120e+00
2.593750e+00, 1.141120e+00
2.656250e+00, 1.115770e+00
2.718750e+00, 1.115770e+00
2.781250e+00, 1.091560e+00
2.843750e+00, 1.091560e+00
2.906250e+00, 1.068783e+00
2.968750e+00, 1.068783e+00
3.031250e+00, 1.047720e+00
3.093750e+00, 1.047720e+00
3.156250e+00, 1.028639e+00
3.218750e+00, 1.028639e+00
3.281250e+00, 1.011786e+00
3.343750e+00, 1.011786e+00
3.406250e+00, 9.973807e-01
3.468750e+00, 9.973807e-01
3.531250e+00, 9.856161e-01
3.593750e+00, 9.856161e-01
3.656250e+00, 9.766498e-01
3.718750e+00, 9.766498e-01
3.781250e+00, 9.706033e-01
3.843750e+00, 9.706033e-01
3.906250e+00, 9.675593e-01
3.968750e+00, 9.675593e-01
4.000000e+00, 9.675593e-01


