D           Pe         Err at t=25   Err at t=50   Err at t=75   Err at t=100  nsteps
1.00e-03   0.00e+00    6.9644e-02    4.8977e-02    3.9066e-02    3.2554e-02    820
1.00e-03   1.00e-01    6.9699e-02    4.9059e-02    3.9095e-02    3.2617e-02    820
1.00e-03   1.00e+00    7.0153e-02    4.9818e-02    3.9996e-02    3.3621e-02    826
1.00e-03   1.00e+01    9.4336e-02    8.4726e-02    8.8835e-02    9.0199e-02    884
1.00e-03   1.00e+02    2.7283e-01    3.7290e-01    4.2819e-01    4.4026e-01    1460
1.00e-03   1.00e+03    4.6544e-01    6.8282e-01    7.5498e-01    7.6225e-01    7220

1.00e-02   0.00e+00    1.6185e-02    8.7481e-03    5.9875e-03    4.5501e-03    8192
1.00e-02   1.00e-01    1.6207e-02    8.7721e-03    6.0121e-03    4.5736e-03    8199
1.00e-02   1.00e+00    1.8009e-02    1.0911e-02    8.2095e-03    6.7585e-03    8257
1.00e-02   1.00e+01    7.8007e-02    6.1452e-02    5.2044e-02    4.5900e-02    8833
1.00e-02   1.00e+02    3.8060e-01    2.9872e-01    2.5255e-01    2.2255e-01    14593
1.00e-02   1.00e+03    6.3636e-01    4.9398e-01    4.1611e-01    3.6602e-01    72192
