Pe               V       Nsts   nu           nSupSteps  nsteps    ERRmax   Speedup
0               0.000000   1   0              32768    32768    0.002271      1.00 
0               0.000000   1   1.000000e-06   32769    32769    0.002127      1.00 
0               0.000000   1   1.000000e-05   32769    32769    0.001181      1.00 
0               0.000000   1   1.000000e-04   32772    32772    0.000008      1.00 
0               0.000000   1   1.000000e-03   32801    32801    0.000008      1.00 
0               0.000000   1   1.000000e-02   33096    33096    0.000008      0.99 
0               0.000000   1   1.000000e-01   36045    36045    0.000007      0.91 
0               0.000000   5   0              1311    6555    0.083278      0.00 
0               0.000000   5   1.000000e-06   1311    6555    0.078000      0.00 
0               0.000000   5   1.000000e-05   1312    6560    0.043256      0.00 
0               0.000000   5   1.000000e-04   1316    6580    0.000354      4.98 
0               0.000000   5   1.000000e-03   1354    6770    0.000230      4.84 
0               0.000000   5   1.000000e-02   1718    8590    0.000161      3.81 
0               0.000000   5   1.000000e-01   4157    20785    0.000033      1.58 
0               0.000000   10   0              328    3280    0.126358      0.00 
0               0.000000   10   1.000000e-06   328    3280    0.118267      0.00 
0               0.000000   10   1.000000e-05   329    3290    0.064829      0.00 
0               0.000000   10   1.000000e-04   333    3330    0.001057      9.84 
0               0.000000   10   1.000000e-03   371    3710    0.000810      8.83 
0               0.000000   10   1.000000e-02   680    6800    0.000308      4.82 
0               0.000000   10   1.000000e-01   2073    20730    0.000033      1.58 
0               0.000000   20   0              82    1640    0.325701      0.00 
0               0.000000   20   1.000000e-06   82    1640    0.304894      0.00 
0               0.000000   20   1.000000e-05   83    1660    0.165427      0.00 
0               0.000000   20   1.000000e-04   87    1740    0.003635     18.83 
0               0.000000   20   1.000000e-03   122    2440    0.002147     13.43 
0               0.000000   20   1.000000e-02   328    6560    0.000358      5.00 
0               0.000000   20   1.000000e-01   1037    20740    0.000033      1.58 
0               0.000000   50   0               14    700    95948990.018758      0.00 
0               0.000000   50   1.000000e-06   14    700    84759561.555185      0.00 
0               0.000000   50   1.000000e-05   14    700    62285718.818772      0.00 
0               0.000000   50   1.000000e-04   18    900    225354.701034      0.00 
0               0.000000   50   1.000000e-03   42    2100    35454.431291      0.00 
0               0.000000   50   1.000000e-02   132    6600    94.968690      0.00 
0               0.000000   50   1.000000e-01   415    20750    0.000033      1.58 

1.000000e-01    0.001000   1   0              32781    32781    0.002282      1.00 
1.000000e-01    0.001000   1   1.000000e-06   32781    32781    0.002139      1.00 
1.000000e-01    0.001000   1   1.000000e-05   32782    32782    0.001201      1.00 
1.000000e-01    0.001000   1   1.000000e-04   32785    32785    0.000267      1.00 
1.000000e-01    0.001000   1   1.000000e-03   32814    32814    0.000267      1.00 
1.000000e-01    0.001000   1   1.000000e-02   33109    33109    0.000266      0.99 
1.000000e-01    0.001000   1   1.000000e-01   36059    36059    0.000265      0.91 
1.000000e-01    0.001000   5   0              1312    6560    0.083717      0.00 
1.000000e-01    0.001000   5   1.000000e-06   1312    6560    0.078422      0.00 
1.000000e-01    0.001000   5   1.000000e-05   1312    6560    0.043627      0.00 
1.000000e-01    0.001000   5   1.000000e-04   1316    6580    0.000612      4.98 
1.000000e-01    0.001000   5   1.000000e-03   1355    6775    0.000488      4.84 
1.000000e-01    0.001000   5   1.000000e-02   1719    8595    0.000420      3.81 
1.000000e-01    0.001000   5   1.000000e-01   4159    20795    0.000291      1.58 
1.000000e-01    0.001000   10   0              328    3280    0.126482      0.00 
1.000000e-01    0.001000   10   1.000000e-06   328    3280    0.118362      0.00 
1.000000e-01    0.001000   10   1.000000e-05   329    3290    0.064820      0.00 
1.000000e-01    0.001000   10   1.000000e-04   333    3330    0.001316      9.84 
1.000000e-01    0.001000   10   1.000000e-03   371    3710    0.001069      8.84 
1.000000e-01    0.001000   10   1.000000e-02   680    6800    0.000566      4.82 
1.000000e-01    0.001000   10   1.000000e-01   2074    20740    0.000292      1.58 
1.000000e-01    0.001000   20   0              82    1640    0.325945      0.00 
1.000000e-01    0.001000   20   1.000000e-06   82    1640    0.305102      0.00 
1.000000e-01    0.001000   20   1.000000e-05   83    1660    0.166174      0.00 
1.000000e-01    0.001000   20   1.000000e-04   87    1740    0.003898     18.84 
1.000000e-01    0.001000   20   1.000000e-03   122    2440    0.002407     13.43 
1.000000e-01    0.001000   20   1.000000e-02   329    6580    0.000615      4.98 
1.000000e-01    0.001000   20   1.000000e-01   1037    20740    0.000292      1.58 
1.000000e-01    0.001000   50   0              14    700    141210647.372268      0.00 
1.000000e-01    0.001000   50   1.000000e-06   14    700    155695004.178144      0.00 
1.000000e-01    0.001000   50   1.000000e-05   14    700    86499597.153447      0.00 
1.000000e-01    0.001000   50   1.000000e-04   18    900    4417335.075005      0.00 
