D          PE          MM     ERR@100       nsteps
1.00e-02   0.00e+00    2048   1.4173e-04    8388609
1.00e-02   1.00e-01    512    2.9343e-07    524340
1.00e-02   1.00e+00    512    4.9146e-07    524801
1.00e-02   1.00e+01    512    2.3859e-06    529409
1.00e-02   1.00e+02    512    1.7720e-05    575489
1.00e-02   1.00e+03    512    8.5891e-06    1036289
--------------------------------------------------
1.00e-03   1.00e-01    512    2.9867e-06    52435
1.00e-03   1.00e+00    512    5.4308e-06    52481
1.00e-03   1.00e+01    512    1.1311e-05    52942
1.00e-03   1.00e+02    512    7.5085e-05    57550
1.00e-03   1.00e+03    512    1.0831e-04    103630
1.00e-02   0.00e+00    64    4.5501e-03    8193
1.00e-02   0.00e+00    64    4.5501e-03    8193
1.00e-02   0.00e+00    64    4.5501e-03    8193
1.00e-02   0.00e+00    128    2.2713e-03    32769
1.00e-02   0.00e+00    512    5.6708e-04    524289
