D          Pe          MM     ERR@100       nsteps
1.00e-02   1.00e-01    512    5.6972e-04    524340
1.00e-02   1.00e+00    512    8.4697e-04    524801
1.00e-02   1.00e+01    512    6.3869e-03    529409
1.00e-02   1.00e+02    512    5.5426e-02    575489
1.00e-02   1.00e+03    64     3.6602e-01    72193
--------------------------------------------------
1.00e-03   1.00e-01    512    4.0585e-03    52435
1.00e-03   1.00e+00    512    4.1989e-03    52481
1.00e-03   1.00e+01    512    1.2164e-02    52942
1.00e-03   1.00e+02    512    1.0230e-01    57550
1.00e-03   1.00e+03    512    4.8407e-01    103630
