D           Pe          Err at t=25  Err at t=50   Err at t=75   Err at t=100  nsteps
1.00e-03   0.00e+00    6.9644e-02    4.8977e-02    3.9066e-02    3.2554e-02    820
1.00e-03   1.00e-01    5.0599e-02    2.5906e-02    1.5066e-02    9.1950e-03    820
1.00e-03   1.00e+00    3.5472e-03    6.5794e-04    4.7304e-04    4.1833e-04    826
1.00e-03   1.00e+01    3.4044e-03    2.5056e-03    2.3481e-03    2.2432e-03    884
1.00e-03   1.00e+02    1.5942e-02    1.2001e-02    1.1253e-02    1.0777e-02    1460
1.00e-03   1.00e+03    2.2966e-02    1.7325e-02    1.6192e-02    1.5523e-02    7220

1.00e-02   0.00e+00    1.6185e-02    8.7481e-03    5.9875e-03    4.5501e-03    8192
1.00e-02   1.00e-01    7.6930e-04    8.2642e-05    4.7797e-05    3.2325e-05    8199
1.00e-02   1.00e+00    2.3205e-04    1.2192e-04    8.1062e-05    6.0330e-05    8257
1.00e-02   1.00e+01    1.4565e-03    8.5642e-04    6.0220e-04    4.6379e-04    8833
1.00e-02   1.00e+02    7.0572e-03    4.1691e-03    2.9373e-03    2.2644e-03    14593
1.00e-02   1.00e+03    1.0177e-02    6.0132e-03    4.2360e-03    3.2656e-03    72192
